label,metric,mean,std
0,f1-score,0.8321060920739946,0.00463440615721089
0,precision,0.8266003968423364,0.014751900030362804
0,recall,0.8383805668016194,0.023217485120818816
0,support,2470.0,0.0
1,f1-score,0.702113865550093,0.011983002225678238
1,precision,0.7129362911761864,0.0175757281587756
1,recall,0.6933895921237694,0.03933403349416205
1,support,1422.0,0.0
accuracy,accuracy,0.7854059609455293,0.002616474741644596
macro avg,f1-score,0.7671099788120438,0.004649004896817491
macro avg,precision,0.7697683440092613,0.0028280286464501723
macro avg,recall,0.7658850794626944,0.008495560663353831
macro avg,support,3892.0,0.0
weighted avg,f1-score,0.7846115016020039,0.003096700050675051
weighted avg,precision,0.785071527814262,0.0037703529773491632
weighted avg,recall,0.7854059609455293,0.002616474741644596
weighted avg,support,3892.0,0.0
