label,metric,mean,std
0,f1-score,0.8392343910756889,0.005316888426956315
0,precision,0.8583613097665008,0.0028189430349762354
0,recall,0.8209716599190283,0.008750935116506058
0,support,2470.0,0.0
1,f1-score,0.7368461078045352,0.006017148340992141
1,precision,0.7110127964649449,0.009918246801848302
1,recall,0.7646976090014065,0.004912587678360896
1,support,1422.0,0.0
accuracy,accuracy,0.8004110996916752,0.005772232566863774
macro avg,f1-score,0.7880402494401121,0.005609997130884225
macro avg,precision,0.7846870531157228,0.005847605029324368
macro avg,recall,0.7928346344602174,0.004936981737621738
macro avg,support,3892.0,0.0
weighted avg,f1-score,0.8018253112165983,0.005518968367412366
weighted avg,precision,0.8045253421624894,0.00483685121650972
weighted avg,recall,0.8004110996916752,0.005772232566863774
weighted avg,support,3892.0,0.0
