,model,k,temperature,question,group,answered,effectiveness,category,effectiveness_raw,effectiveness_norm,is_refused
0,qwen3B,3,0.7,1,statistics,1,3.0,Frequency,4.0,0.8,0
1,qwen3B,3,0.7,2,statistics,1,4.0,Frequency,5.0,1.0,0
2,qwen3B,3,0.7,3,statistics,1,4.0,Frequency,5.0,1.0,0
3,qwen3B,3,0.7,4,statistics,1,1.0,Date range,1.0,0.2,0
4,qwen3B,3,0.7,5,context,1,4.0,Sentiment,4.0,0.8,0
5,qwen3B,3,0.7,6,context,0,,Metaphors,,,1
6,qwen3B,3,0.7,7,context,1,4.0,Metaphors,4.0,0.8,0
7,qwen3B,3,0.7,8,context,1,1.0,Metaphors,1.0,0.2,0
8,qwen3B,3,0.7,9,context,0,,Metaphors,,,1
9,qwen3B,3,0.7,10,context,0,0.0,Frequency,,,1
10,qwen3B,3,0.7,11,context,1,0.0,Sentiment,0.0,0.0,0
11,qwen3B,3,0.7,12,change over time,0,,Date range,,,1
12,qwen3B,3,0.7,13,change over time,0,,Date range,,,1
13,qwen3B,3,0.7,14,change over time,0,,Date range,,,1
14,qwen3B,3,0.7,15,change over time,0,,Date range,,,1
15,qwen3B,3,0.7,16,change over time,1,3.0,Topic modeling,3.0,0.6,0
16,qwen3B,3,0.7,17,change over time,0,,Topic modeling,,,1
17,qwen3B,3,0.7,18,change over time,1,2.0,Date range,2.0,0.4,0
18,qwen3B,3,0.7,19,comparison,0,,Sentiment,,,1
19,qwen3B,3,0.7,20,comparison,1,4.0,Sentiment,4.0,0.8,0
20,qwen3B,3,0.7,21,comparison,0,,Sentiment,,,1
21,qwen3B,3,0.7,22,comparison,1,3.0,Date range,3.0,0.6,0
22,qwen3B,3,0.7,23,interpretations,1,5.0,Topic modeling,5.0,1.0,0
23,qwen3B,3,0.7,24,interpretations,1,2.0,Topic modeling,2.0,0.4,0
24,qwen3B,3,0.7,25,interpretations,1,5.0,Topic modeling,5.0,1.0,0
25,qwen3B,3,0.7,26,interpretations,1,4.0,Topic modeling,4.0,0.8,0
26,qwen3B,3,0.7,27,interpretations,1,5.0,Topic modeling,5.0,1.0,0
27,qwen3B,3,0.7,28,interpretations,1,5.0,Sentiment,5.0,1.0,0
28,qwen3B,10,0.7,1,statistics,1,3.0,Frequency,4.0,0.8,0
29,qwen3B,10,0.7,2,statistics,1,1.0,Frequency,2.0,0.4,0
30,qwen3B,10,0.7,3,statistics,1,4.0,Frequency,5.0,1.0,0
31,qwen3B,10,0.7,4,statistics,1,1.0,Date range,1.0,0.2,0
32,qwen3B,10,0.7,5,context,1,2.0,Sentiment,2.0,0.4,0
33,qwen3B,10,0.7,6,context,1,1.0,Metaphors,1.0,0.2,0
34,qwen3B,10,0.7,7,context,1,5.0,Metaphors,5.0,1.0,0
35,qwen3B,10,0.7,8,context,1,0.0,Metaphors,0.0,0.0,0
36,qwen3B,10,0.7,9,context,1,1.0,Metaphors,1.0,0.2,0
37,qwen3B,10,0.7,10,context,1,2.0,Frequency,3.0,0.6,0
38,qwen3B,10,0.7,11,context,1,0.0,Sentiment,0.0,0.0,0
39,qwen3B,10,0.7,12,change over time,0,,Date range,,,1
40,qwen3B,10,0.7,13,change over time,0,,Date range,,,1
41,qwen3B,10,0.7,14,change over time,0,,Date range,,,1
42,qwen3B,10,0.7,15,change over time,0,,Date range,,,1
43,qwen3B,10,0.7,16,change over time,1,2.0,Topic modeling,2.0,0.4,0
44,qwen3B,10,0.7,17,change over time,1,0.0,Topic modeling,0.0,0.0,0
45,qwen3B,10,0.7,18,change over time,1,2.0,Date range,2.0,0.4,0
46,qwen3B,10,0.7,19,comparison,1,5.0,Sentiment,5.0,1.0,0
47,qwen3B,10,0.7,20,comparison,1,5.0,Sentiment,5.0,1.0,0
48,qwen3B,10,0.7,21,comparison,1,4.0,Sentiment,4.0,0.8,0
49,qwen3B,10,0.7,22,comparison,1,1.0,Date range,1.0,0.2,0
50,qwen3B,10,0.7,23,interpretations,1,5.0,Topic modeling,5.0,1.0,0
51,qwen3B,10,0.7,24,interpretations,1,2.0,Topic modeling,2.0,0.4,0
52,qwen3B,10,0.7,25,interpretations,1,1.0,Topic modeling,1.0,0.2,0
53,qwen3B,10,0.7,26,interpretations,1,5.0,Topic modeling,5.0,1.0,0
54,qwen3B,10,0.7,27,interpretations,1,5.0,Topic modeling,5.0,1.0,0
55,qwen3B,10,0.7,28,interpretations,1,5.0,Sentiment,5.0,1.0,0
56,qwen3B,10,0.1,1,statistics,1,4.0,Frequency,5.0,1.0,0
57,qwen3B,10,0.1,2,statistics,1,4.0,Frequency,5.0,1.0,0
58,qwen3B,10,0.1,3,statistics,1,4.0,Frequency,5.0,1.0,0
59,qwen3B,10,0.1,4,statistics,1,2.0,Date range,2.0,0.4,0
60,qwen3B,10,0.1,5,context,1,1.0,Sentiment,1.0,0.2,0
61,qwen3B,10,0.1,6,context,1,4.0,Metaphors,4.0,0.8,0
62,qwen3B,10,0.1,7,context,1,4.0,Metaphors,4.0,0.8,0
63,qwen3B,10,0.1,8,context,1,0.0,Metaphors,0.0,0.0,0
64,qwen3B,10,0.1,9,context,1,4.0,Metaphors,4.0,0.8,0
65,qwen3B,10,0.1,10,context,1,2.0,Frequency,3.0,0.6,0
66,qwen3B,10,0.1,11,context,1,2.0,Sentiment,2.0,0.4,0
67,qwen3B,10,0.1,12,change over time,1,1.0,Date range,1.0,0.2,0
68,qwen3B,10,0.1,13,change over time,0,,Date range,,,1
69,qwen3B,10,0.1,14,change over time,0,,Date range,,,1
70,qwen3B,10,0.1,15,change over time,0,,Date range,,,1
71,qwen3B,10,0.1,16,change over time,1,4.0,Topic modeling,4.0,0.8,0
72,qwen3B,10,0.1,17,change over time,1,1.0,Topic modeling,1.0,0.2,0
73,qwen3B,10,0.1,18,change over time,1,3.0,Date range,3.0,0.6,0
74,qwen3B,10,0.1,19,comparison,1,2.0,Sentiment,2.0,0.4,0
75,qwen3B,10,0.1,20,comparison,1,5.0,Sentiment,5.0,1.0,0
76,qwen3B,10,0.1,21,comparison,1,1.0,Sentiment,1.0,0.2,0
77,qwen3B,10,0.1,22,comparison,1,1.0,Date range,1.0,0.2,0
78,qwen3B,10,0.1,23,interpretations,1,5.0,Topic modeling,5.0,1.0,0
79,qwen3B,10,0.1,24,interpretations,1,3.0,Topic modeling,3.0,0.6,0
80,qwen3B,10,0.1,25,interpretations,1,4.0,Topic modeling,4.0,0.8,0
81,qwen3B,10,0.1,26,interpretations,1,5.0,Topic modeling,5.0,1.0,0
82,qwen3B,10,0.1,27,interpretations,1,5.0,Topic modeling,5.0,1.0,0
83,qwen3B,10,0.1,28,interpretations,1,5.0,Sentiment,5.0,1.0,0
84,tinyllama1B,3,0.7,1,statistics,1,2.0,Frequency,3.0,0.6,0
85,tinyllama1B,3,0.7,2,statistics,1,0.0,Frequency,1.0,0.2,0
86,tinyllama1B,3,0.7,3,statistics,1,0.0,Frequency,0.0,0.0,0
87,tinyllama1B,3,0.7,4,statistics,1,1.0,Date range,1.0,0.2,0
88,tinyllama1B,3,0.7,5,context,1,2.0,Sentiment,2.0,0.4,0
89,tinyllama1B,3,0.7,6,context,1,0.0,Metaphors,0.0,0.0,0
90,tinyllama1B,3,0.7,7,context,1,0.0,Metaphors,0.0,0.0,0
91,tinyllama1B,3,0.7,8,context,1,0.0,Metaphors,0.0,0.0,0
92,tinyllama1B,3,0.7,9,context,1,0.0,Metaphors,0.0,0.0,0
93,tinyllama1B,3,0.7,10,context,1,2.0,Frequency,3.0,0.6,0
94,tinyllama1B,3,0.7,11,context,1,0.0,Sentiment,0.0,0.0,0
95,tinyllama1B,3,0.7,12,change over time,1,0.0,Date range,0.0,0.0,0
96,tinyllama1B,3,0.7,13,change over time,1,2.0,Date range,2.0,0.4,0
97,tinyllama1B,3,0.7,14,change over time,1,1.0,Date range,1.0,0.2,0
98,tinyllama1B,3,0.7,15,change over time,1,3.0,Date range,3.0,0.6,0
99,tinyllama1B,3,0.7,16,change over time,1,3.0,Topic modeling,3.0,0.6,0
100,tinyllama1B,3,0.7,17,change over time,1,3.0,Topic modeling,3.0,0.6,0
101,tinyllama1B,3,0.7,18,change over time,1,3.0,Date range,3.0,0.6,0
102,tinyllama1B,3,0.7,19,comparison,1,1.0,Sentiment,1.0,0.2,0
103,tinyllama1B,3,0.7,20,comparison,1,2.0,Sentiment,2.0,0.4,0
104,tinyllama1B,3,0.7,21,comparison,1,4.0,Sentiment,4.0,0.8,0
105,tinyllama1B,3,0.7,22,comparison,1,2.0,Date range,2.0,0.4,0
106,tinyllama1B,3,0.7,23,interpretations,1,4.0,Topic modeling,4.0,0.8,0
107,tinyllama1B,3,0.7,24,interpretations,1,2.0,Topic modeling,2.0,0.4,0
108,tinyllama1B,3,0.7,25,interpretations,1,0.0,Topic modeling,0.0,0.0,0
109,tinyllama1B,3,0.7,26,interpretations,1,4.0,Topic modeling,4.0,0.8,0
110,tinyllama1B,3,0.7,27,interpretations,1,2.0,Topic modeling,2.0,0.4,0
111,tinyllama1B,3,0.7,28,interpretations,1,5.0,Sentiment,5.0,1.0,0
112,tinyllama1B,10,0.1,1,statistics,1,3.0,Frequency,4.0,0.8,0
113,tinyllama1B,10,0.1,2,statistics,1,0.0,Frequency,1.0,0.2,0
114,tinyllama1B,10,0.1,3,statistics,1,0.0,Frequency,0.0,0.0,0
115,tinyllama1B,10,0.1,4,statistics,1,1.0,Date range,1.0,0.2,0
116,tinyllama1B,10,0.1,5,context,1,2.0,Sentiment,2.0,0.4,0
117,tinyllama1B,10,0.1,6,context,1,0.0,Metaphors,0.0,0.0,0
118,tinyllama1B,10,0.1,7,context,1,0.0,Metaphors,0.0,0.0,0
119,tinyllama1B,10,0.1,8,context,1,0.0,Metaphors,0.0,0.0,0
120,tinyllama1B,10,0.1,9,context,1,0.0,Metaphors,0.0,0.0,0
121,tinyllama1B,10,0.1,10,context,1,1.0,Frequency,2.0,0.4,0
122,tinyllama1B,10,0.1,11,context,1,0.0,Sentiment,0.0,0.0,0
123,tinyllama1B,10,0.1,12,change over time,1,0.0,Date range,0.0,0.0,0
124,tinyllama1B,10,0.1,13,change over time,1,0.0,Date range,0.0,0.0,0
125,tinyllama1B,10,0.1,14,change over time,1,1.0,Date range,1.0,0.2,0
126,tinyllama1B,10,0.1,15,change over time,1,1.0,Date range,1.0,0.2,0
127,tinyllama1B,10,0.1,16,change over time,1,3.0,Topic modeling,3.0,0.6,0
128,tinyllama1B,10,0.1,17,change over time,1,2.0,Topic modeling,2.0,0.4,0
129,tinyllama1B,10,0.1,18,change over time,1,1.0,Date range,1.0,0.2,0
