;qwen3:0.6b;mistral:latest;llama3.1:latest;qwen2.5:latest;gemma3:1b;gemma3:latest
0;False;True;True;True;False;False
1;False;True;True;True;False;True
2;False;True;True;True;False;True
3;False;False;False;False;False;False
4;False;True;True;True;False;True
5;False;True;True;False;False;True
6;False;False;False;False;False;False
7;False;True;False;True;False;False
8;False;False;False;False;False;False
9;False;True;True;True;False;True
10;False;True;False;False;False;True
11;False;False;False;True;True;True
12;False;False;False;False;False;False
13;False;True;True;True;False;True
14;False;True;True;True;False;True
15;True;True;True;True;True;True
16;False;True;True;True;True;True
17;False;True;False;False;False;False
18;False;False;False;False;False;False
19;False;True;False;True;False;True
20;True;True;True;True;True;True
21;False;True;True;True;False;True
22;False;False;False;False;False;False
23;False;True;True;True;True;True
24;True;True;True;True;True;True
25;False;False;True;False;False;True
26;False;True;False;True;False;True
27;False;True;True;True;False;True
28;True;True;True;True;True;True
29;True;True;True;True;True;True
30;False;True;True;False;False;False
31;False;True;True;True;True;True
32;False;True;True;True;True;False
33;False;False;False;False;False;False
34;False;True;True;True;False;True
35;False;True;True;True;False;True
36;False;False;False;False;False;False
37;False;False;True;False;False;False
38;True;True;True;True;True;False
39;False;True;True;False;False;False
40;False;False;False;True;False;False
41;False;True;True;True;False;True
42;False;True;True;True;True;True
43;False;True;True;True;True;True
44;False;True;True;True;True;True
45;False;True;False;True;False;True
46;False;False;False;False;False;False
47;True;True;False;True;True;True
48;False;True;True;True;False;True
49;False;False;False;True;False;False
50;False;True;True;True;False;True
51;False;True;True;True;True;True
52;True;False;True;False;False;True
53;False;True;True;True;True;True
54;False;True;True;True;True;True
55;False;True;True;True;True;True
56;False;True;True;True;False;True
57;True;False;True;True;True;True
58;False;True;True;True;True;True
59;True;True;True;True;True;True
60;False;True;True;True;False;True
61;False;False;False;False;False;False
62;False;True;True;True;True;True
63;True;True;True;True;True;True
64;False;False;False;True;True;False
65;False;False;False;True;True;False
66;True;False;True;False;False;True
67;True;True;True;True;True;True
68;False;True;True;True;False;False
69;False;False;True;False;True;True
70;False;True;True;True;True;True
71;False;False;False;False;False;False
72;False;True;True;True;True;True
73;False;True;True;True;False;True
74;False;True;False;False;False;False
75;False;True;True;True;False;True
76;False;True;True;True;True;True
77;False;False;True;False;False;True
78;False;False;True;False;False;False
79;False;True;True;True;False;True
80;False;True;False;False;True;False
81;False;False;False;False;False;False
82;False;True;True;True;False;True
83;False;False;True;True;False;False
84;False;False;False;False;False;False
85;False;False;True;True;False;True
86;False;True;True;False;False;False
87;False;True;True;False;False;False
88;True;True;True;True;True;True
89;False;True;True;True;False;True
90;False;True;True;True;True;True
91;False;True;False;True;True;True
92;False;True;True;True;True;False
93;False;False;False;False;False;False
94;False;True;True;True;False;True
95;True;True;True;True;True;True
96;False;True;True;False;False;True
97;False;True;True;False;False;False
98;False;True;True;True;True;True
99;False;True;True;True;False;True
100;False;True;True;True;True;True
101;False;True;True;False;False;True
102;False;False;True;True;False;True
103;False;False;False;False;False;False
104;False;True;True;True;True;False
105;False;True;True;True;True;True
106;False;True;True;True;False;False
107;False;True;True;True;False;False
108;False;True;True;True;False;True
109;False;True;True;False;False;True
110;False;False;True;False;False;False
111;False;False;True;True;True;True
112;False;True;False;True;False;True
113;False;True;True;True;False;True
114;False;True;False;False;True;True
115;False;True;True;True;False;True
116;True;True;True;True;True;True
117;False;True;True;False;False;False
118;True;True;True;True;True;True
119;False;True;True;True;False;True
120;False;True;True;False;False;True
121;False;True;True;True;True;True
122;False;True;True;True;False;True
123;False;True;True;True;True;True
124;False;False;True;True;False;True
125;False;True;False;False;True;True
126;False;True;True;True;False;True
127;True;True;True;True;True;True
128;False;True;True;True;False;True
129;False;True;True;True;False;True
130;False;True;True;True;False;True
131;False;True;True;False;False;True
132;False;True;False;True;False;True
133;False;True;True;True;True;True
134;False;True;True;False;False;False
135;False;True;True;True;False;True
136;False;True;True;True;False;True
137;False;True;True;True;False;False
138;False;False;False;False;False;False
139;False;True;True;True;True;True
140;True;True;True;True;True;True
141;False;True;False;True;False;False
142;False;True;True;True;False;True
143;False;True;True;False;False;True
144;False;True;True;False;False;False
145;False;True;True;True;True;True
146;False;True;True;True;False;True
147;False;True;True;True;False;True
148;False;True;True;True;True;True
149;True;True;True;True;True;True
150;True;True;True;True;True;True
151;False;True;True;True;False;True
152;False;True;True;True;False;True
153;False;False;False;False;False;False
