State,Filename,Num_Pages,Total_Words
Vermont,Vermont_10.json,6,832
Vermont,Vermont_11.json,7,1462
Vermont,Vermont_12.json,9,2452
Vermont,Vermont_13.json,1,220
Vermont,Vermont_14.json,2,453
Vermont,Vermont_15.json,4,512
Vermont,Vermont_2.json,1,186
Vermont,Vermont_6.json,21,5837
Vermont,Vermont_7.json,7,3006
Vermont,Vermont_8.json,1,464
Vermont,Vermont_9.json,1,535
New Hampshire,NewHempshire_3.json,9,2452
Alaska,Alaska_1.json,8,2297
Alaska,Alaska_10.json,10,1561
Alaska,Alaska_11.json,1,209
Alaska,Alaska_12.json,21,7368
Alaska,Alaska_2.json,2,218
Alaska,Alaska_3.json,3,1066
Alaska,Alaska_4.json,2,1070
Alaska,Alaska_5.json,4,1348
Alaska,Alaska_6.json,7,1485
Alaska,Alaska_7.json,4,1256
Alaska,Alaska_8.json,4,782
Alaska,Alaska_9.json,7,1548
Illinois,Illinois_6.json,1,320
Virginia,Virgina_1.json,1,452
Washington,Washington_17.json,4,580
Washington,Washington_19.json,1,283
Washington,Washington_34.json,4,4133
Washington,Washington_4.json,1,276
Connecticut,Connecticut_1.json,9,1226
Connecticut,Connecticut_6.json,9,2452
Alabama,Alabama_1.json,2,328
Alabama,Alabama_10.json,9,2654
Alabama,Alabama_2.json,4,566
Alabama,Alabama_3.json,2,275
Alabama,Alabama_4.json,5,410
Alabama,Alabama_5.json,4,871
Alabama,Alabama_6.json,3,503
Alabama,Alabama_7.json,1,327
Alabama,Alabama_8.json,2,495
Alabama,Alabama_9.json,1,377
Utah,Utah_1.json,1,299
Utah,Utah_10.json,4,992
Utah,Utah_11.json,1,336
Utah,Utah_12.json,10,2405
Utah,Utah_13.json,2,575
Utah,Utah_14.json,4,853
Utah,Utah_15.json,4,1160
Utah,Utah_16.json,4,1054
Utah,Utah_17.json,5,1152
Utah,Utah_18.json,6,1396
Utah,Utah_19.json,8,1819
Utah,Utah_2.json,6,907
Utah,Utah_20.json,3,581
Utah,Utah_21.json,1,333
Utah,Utah_22.json,1,308
Utah,Utah_3.json,6,832
Utah,Utah_4.json,2,706
Utah,Utah_5.json,3,408
Utah,Utah_6.json,6,1740
Utah,Utah_7.json,4,684
Utah,Utah_8.json,1,250
Utah,Utah_9.json,3,450
Ohio,Ohio_1.json,2,319
Ohio,Ohio_2.json,2,286
Ohio,Ohio_3.json,1,320
Ohio,Ohio_7.json,1,187
Ohio,Ohio_8.json,1,231
Maine,Maine_20.json,9,2452
Indiana,Indiana_2.json,1,320
Indiana,Indiana_5.json,4,778
Indiana,Indiana_7.json,1,383
Arkansas,Arkansas_1.json,3,857
Arkansas,Arkansas_10.json,1,244
Arkansas,Arkansas_2.json,1,207
Arkansas,Arkansas_3.json,1,303
Arkansas,Arkansas_4.json,4,1007
Arkansas,Arkansas_5.json,3,1056
Arkansas,Arkansas_6.json,2,313
Arkansas,Arkansas_7.json,2,313
Arkansas,Arkansas_8.json,2,313
Arkansas,Arkansas_9.json,16,3932
Wisconsin,Wisconsin_12.json,9,3346
Wisconsin,Wisconsin_9.json,1,320
Arizona,Arizona_1.json,4,673
Arizona,Arizona_10.json,3,887
Arizona,Arizona_11.json,4,774
Arizona,Arizona_12.json,3,709
Arizona,Arizona_13.json,3,709
Arizona,Arizona_14.json,6,1495
Arizona,Arizona_15.json,7,1813
Arizona,Arizona_16.json,8,3172
Arizona,Arizona_17.json,3,822
Arizona,Arizona_2.json,8,1433
Arizona,Arizona_3.json,8,1413
Arizona,Arizona_4.json,4,712
Arizona,Arizona_5.json,4,956
Arizona,Arizona_6.json,4,1056
Arizona,Arizona_7.json,3,642
Arizona,Arizona_8.json,6,2703
Arizona,Arizona_9.json,3,710
New York,NewYork_1.json,6,1370
New York,NewYork_32.json,9,2452
New York,NewYork_4.json,1,320
New Jersey,NewJersey_9.json,5,1440
Massachusetts,Massachusetts_26.json,9,2452
Michigan,Michigan_1.json,13,3214
Michigan,Michigan_3.json,12,3205
Michigan,Michigan_6.json,1,320
Michigan,Michigan_9.json,9,3346
Minnesota,Minesota_4.json,1,320
Minnesota,Minesota_6.json,9,3346
