State,Filename,Page,Text,Cluster_ID,Frequency_Label
California,1December18.json,1,"CALIFORNI RE o WASHINGTON STATE DEPT OF natural Ministry of OREGON NATURAL Forests, Lands, Natural DEPARTMENT OF RESOURCES resources BRITISH Resource Operations FORESTRY AGENCY COLUMBIA and Rural Development Memorandum of Understanding Pacific Coast Temperate Forests 1. WHEREAS global forests are the largest terrestrial carbon sink and are an essential component in the fight against climate change; 2. WHEREAS Pacific Coast temperate forests. include those with the capacity to sequester more carbon per acre than any other globally; 3. WHEREAS these forest ecosystems capture, clean, and store essential water supplies for communities, agriculture and hydropower and they provide rich biodiversity and diverse habitats; 4. WHEREAS these forests also offer some of the most productive timber-growing conditions in the country and support vital forest-related communities and economies; 5. WHEREAS the health and resilience of these forests are tightly linked with the health and resilience of rural and natural resource-dependent communities; 6. WHEREAS some regions of the Pacific temperate forest are increasingly susceptible to insects, disease and high-severity wildfire; 7. WHEREAS climate change and human activities have increased vulnerability to fire and forest mortality and threatens forest health and resilience, stored carbon, biodiversity, water supplies, public health and safety, recreational opportunities, and rural economies; 8. WHEREAS climate change 1S threatening the ability of some areas to continue supporting a reliable forest industry. 9. WHEREAS resilient forests and a sustainable forest industry will provide jobs,improve hydrologic function, support myriad native species, and support a broad range of public benefits; 10. WHEREAS we can benefit from working together to better understand forest carbon dynamics and how forests are responding to climatic changes in the respective jurisdictions of the parties of this MOU through scientific study, adaptive practice, improved data and modeling, and indigenous traditional knowledge; 11. WHEREAS innovation of forest products, building materials, building codes, and techniques can diversify the markets for forest materials, increasing commercial opportunities derived from forest management andsupporting ongoing forest restoration activities.",-1,Rarely
Ohio,Ohio_1.json,1,"edgreement ofcooperalion and friendshif belween the Slale ofOhio, ofthe Anited Otales ofolmerica, and the Stale ofParania, ofthe Oederalive RRepublic ofranid. he Sale of Ohio, ofthe Alnited Slates ofelmerica, and the Slale ofParana, ofthe Oederalive Republic of Branil, insfrired by the desire lo encrease even moxe the friendly cooperalion between the Slale of Ohio and the Stale ofParana and the undenstanding and friendshif belween the feoples ofthe lwo countries, agree to establish relalions ofcooperalion and friendshif between them. BBased on the frincifles ofequality and reciprocal benefit, the Stale of Ohio and the Stale of Parana will develof friendly bonds belween theix feofles and will fromole ample cooferalion and exchange in the areas ofeconomics, trade, science, technology, culture, art, health and prorls to aid the development and joint, prrosprerily ofthe lwo regions. he direclors ofboth farties, in accord with the needs ofthe lask, will mainlain contacts in a manner adequale to both and will hold consullalions in order to encourage and develof mulual friendly cooperalion. Jhe frograms ofcooperation and exchange which axe to be realixed according to this feresent agreement shall respect the lerms ofapplicable laws, decrees and regulalions ofthe OlniledOtates : - ofedmenica and ofthe Ofederalive RRepublic ofbraril, as well as those ofthe Olate ofOhio and the Stale ofParana. Ohe fact that the State of Ohio and the Slale ofParana hexeby seal and slrenglhen the relations ofbrotherhood will not affect exchange ox cooperalion ofeithen farly with other countries, other regions ox othex areas mn economic, trade, scientific, lechnological, cullurala and arlistic fields.",-1,Rarely
California,1December7.json,3,"1. PURPOSE This joint declaration is being signed on the occasion and in the spirit of the COP21 international climate talks being held in Paris, France in December 2015, to promote cooperation on ambitious responses to climate change and related environmental issues, including Sustainable Urban Infrastructure, Water Management, Biodiversity, Transportation, Applied Science, Energy, and Climate Technologies. 2. AREAS OF COOPERATION France and California agree to cooperate on these specific areasi in consideration ofthe following premises and terms: Climate change mitigation: France and California deem it necessaryi to escalate their response to the cause and consequences ofclimate change while supporting sustainable low carbon economicgrowth, including reporting of greenhouse gases emissions, developing carbon pricing systems and other market based instruments, promoting reductions of emissions from forest management, developing climate planning, promoting renewable energy, and cooperating to advance multilateral and subnational action on climate change. France acknowledges and endorses California's efforts to support subnational leadership on climate change through the Subnational Global Climate Leadership Memorandum of Understanding, known as the ""Under2MOU,"" which: seeks to limit global warming to 2°C or less in line with what a majority of scientists believe is necessary to avoid the most dangerous climate change impacts; Carbon pricing: French Presidentl François Hollande and California Governor Edmund G. Brown. Jr. are both members of the Carbon Pricing Panel, a group convened by World Bank Group President Jim Yong Kim and International Monetary Fund Managing Director Christine Lagarde to spur further, faster action on carbon pricing. France and California will work together to support efforts to impose a price on carbon; Adaptation and resiliency: Climate change will subject areas across France and California to more intense and extreme weather events such as flooding and wildfires, and require new methods to adapt to changing conditions. To create opportunities that will strengthen and improve resiliency, France and California will work together to develop solutions that integrate applied science and resultin collaboration with local and regional authorities and institutions of higher education through the sharing of successes and lessons learned; Water management: France and California face challenges to their water resources, both in terms of quality and quantity. France and California will work together to share best practices on water resource management including agricultural supply, floodplain management and rising sea levels; Transportation: France and California are global leaders in clean transportation technology and policy development, each specializing in specific areas of expertise including high-speed rail, zero emission vehicles and the supporting infrastructure, public transit, and coordination between transportation and land use planning. In addition, California is a founding participant of the International Zero Emission Vehicle Alliance (ZEV Alliance), a collaboration of world-leading jurisdictions taking action to accelerate the adoption of ZEVS. France and California will work together on local and regional transportation technologies and policies to advance electrification of the transportation sector;",-1,Rarely
California,1December7 (2).json,5,"highlight low-carbon planning, low-carbon industries, low-carbon construction, low-carbon transportation, carbon trading and many other areas. Expertise and experience shall be shared regularly. XX X - #Z FE E FH Td K 7 H. The two parties will discuss and decide to carry out cooperation on other programs as needed. T X - X7 1 4 o This Plan of Actions has been made out in two identical copies, one for each party. Witnessed by tr, Nut HITARER JE N  Zhenjiang Municipal People's State Government of Government California a/pelfedhadfe - A 2015 Af 12 F 7 E December 7, 2015 5-",-1,Rarely
California,1December7 (2).json,3,"t, HETFA ARRTE - 51  in E 4e NN III. To organize International Low Carbon Expo together. Zhenjiang will organize an International Low Carbon Expo in October every year from 2016 in Zhenjiang, exhibiting low carbon technologies and products from around the world. California will support the Zhenjiang International Low Carbon Expo to the extent possible. The Expo will provide guidance to potential investment and cooperation, and promote the development of the low carbon industry. At E E. TJ IV. To work on demonstration projects together. The two parties will support, encourage and guide the development of relevant companies, and carry out cooperation on Zhenjiang Eco Town, Zhenjiang Hi-Tech Zone, Zero Carbon Island and other demonstration projects by introducing technologies and investment. Zhenjiang will build these demonstration projects into national-level cooperation projects between China and the United States, and world-class low carbon demonstration projects. -3-",-1,Rarely
California,1December7 (2).json,1,"PERLINDAREK EDFINENZMEECK  FuISR E  - TENTTENTTN Plan ofActions on Low Carbon Cooperation between Zhenjiang Municipal People's Government, People's Republic ofChina and State Government of California United States of America iP. N EA VX 6 2015 # 9 F 15 Kt HL V A XABIH E X: To strengthen the cooperation on low carbon development, Zhenjiang Municipal People's Government, China and State of California, the United States of America (hereinafter referred to as the ""two parties"") reach a Plan of Actions to cooperate with each other in the near term on the basis of the Memorandum of Understanding signed by the two parties on September 15 in Los Angeles, as an effort to expand the scope of cooperation and promote the commitment of making maximum contributions to addressing climate change. 7 1-",-1,Rarely
California,1December7 (1).json,5,"- Attachment - PM Sensors MAC address' Sensor MAC address Sensor MAC address 1 68:c6:3a:89:7b:40 26 68:c6:3a:89:71:38 2 68:c6:3a:8e:79:e9 27 68:c6:3a:89:7e:72 3 68:C6:3a:89:1d:64 28 68:c6:3a:89:7f:3a 4 68:c6:3a:89:1e:17 29 68:c6:3a:89:6e:31 5 68:C6:3a:89:7e:7f 30 68:c6:3a:89:7e:7d 6 68:c6:3a:89:7e:74 31 68:c6:3a:89:7e:76 7 68:c6:3a:89:7e:78 32 68:C6:3a:89:6e:5b 8 68:c6:3a:89:7e:7e 33 68:c6:3a:89:7f:40 9 68:c6:3a:89:7d:d8 34 68:c6:3a:89:6e:a0 10 68:c6:3a:8e:8e:fd 35 68:c6:3a:8e:a4:99 11 68:C6:3a:8e:4e:a 36 68:c6:3a:8e:8e:12 12 68:c6:3a:8e:59:5a 37 68:c6:3a:8e:5c:10 13 60:1:94:65:ab:b6 38 68:c6:3a:8e:a4:6b 14 60:1:94:65:ac:85 39 68:c6:3a:8e:6b:94 15 60:1:94:65:ab:e8 40 68:c6:3a:8e:59:4a 16 84:f3:eb:45:26:7 41 68:c6:3a:8e:8e:17 17 84:f3:eb:45:1f:7c 42 68:c6:3a:8e:59:4e 18 84:f3:eb:45:1b:98 43 84:13:eb:45:21:dC 19 ec:fa:bc:b:b2:a9 44 84:f3:eb:45:26:42 20 ec:fa:bc:b:b1:b7 45 84:13:eb:45:1e:5d 21 68:c6:3a:89:60:2a 46 84:f3:eb:45:25:51 22 68:c6:3a:89:7f:3b 47 ec:fa:bc:b:b1:74 23 68:c6:3a:89:7d:c7 48 ec:fa.bc:b:b1:99 24 68:c6:3a:89:7e:75 49 ec:fa:bc:b:6f:cd 25 68:c6:3a:89:7f:48 50 2c:3a:e8:48:ac:13 U K 1 The MAC (Media Access Control) address is a globally unique identifier assigned to network devices and may be used to identify hardware, similar to a serial number. 5",-1,Rarely
California,1December4.json,3,"Itis intended to provide quality simultaneous translation services at every meeting to ensure effective communication. Meeting date, location notice and agendas would be provided at least ten (10) days before the meeting and meeting minutes would be circulated to the Commission members within three (3) months after the meeting. 5. FUNDING This MOU does not entail financial obligations for the Participants. The participants intend to assume the costs they incurred on this MOU with resources allocated in their respective budgets, as these resources become available and as stipulated by their own legislation. 6. VALIDITY This MOU is a framework guiding discussions among the Participants for a period of four (4) years beginning on the date as of which all three (3) Participants have signed this MOU, unless the Participants agree in writing on a different end date. Any Participant may withdraw from this MOU at any time for any reason. However, the Participants intend to provide notice to the other Participants sixty (60) days in advance. 7. FINAL PROVISIONS This MOU is not legally binding, nor does it create legally binding obligations, rights or remedies and/or legal effect. This MOU is signed in San Diego, California, on December 4, 2019 in three (3) original copiés of the same content in English and Spanish languages. For the Government of the State of California of the United Stdtes of Amerca GAVIN CHEISTOPHER NEWSOM For the Government of the State of Baja California of the United Mexican States 1/ JAJME BONILLA VALDEZ For the Government of the State of Baja California Sur of the United Mexcan-States CARLOSMENDOZAT DAVIS eoos",-1,Rarely
California,1December4.json,2,"C. Transportation and infrastructure - California State Transportation Agency. d. Emergency preparedness and response - Governor's Office of Emergency. Services. e. Agriculture - California Department of Food and Agriculture. f. Public health = California Health and Human Services Agency. 2. For the Government of the State of Baja California: a. Economic development and tourism - Secretary of Sustainable Economy and Tourism (lead coordinating office), and the Public Trust for Tourism Promotion of Baja California. b. Environment and energy - Secretary of Sustainable Economy and Tourism, State Water Commission and State Energy Commission. C. Transportation and infrastructure - Secretary of Infrastructure, Urban and Territorial Development. d. Emergency preparedness and response- Secretary of Government and Civil Protection Coordination. e. Agriculture - Secretary of Agriculture and Food Security. f. Public health I Secretary of Health. 3. For the Government of the State of Baja California Sur: a. Economic development and tourism - Secretary of Tourism, Economy and Sustainability. b. Environment and energy Secretary of Urban Planning, Infrastructure and Mobility and the Secretary of Tourism, Economy and Sustainability C. Transportation and infrastructure - Secretary of Urban Planning, Infrastructure and Mobility (lead coordinating office). d. e. Emergency preparedness and response Secretary of Government. f. Agriculture - Secretary of Fishing, Aquaculture and Agriculture. g. Public health - Secretary of Health. 4. MEETINGS The Participants intend to meet to engage in collective discussion at least once a year, and ensuring sharing hosting responsibilities rotate equally between the three Participants, to the extent possible. s",-1,Rarely
California,1December4.json,1,"GOBIERNO DEE BAJA CALIFORNIA DEL ESTADO SUR BAJA CALIFORNIA MEMORANDUM OF UNDERSTANDING BETWEEN THE GOVERNMENT OF THE STATE OF CALIFORNIA OF THE UNITED STATES OF AMERICA AND THE GOVERNMENT OF THE STATE OF BAJA CALIFORNIA AND THE GOVERNMENT OF THE STATE OF BAJA CALIFORNIA SUR OF THE UNITED MEXICAN STATES FOR THE ESTABLISHMENT OF THE COMMISSION OF THE CALIFORNIAS The Government of the State of California of the United States of America and the Government of the States of Baja California and the Government of the Baja California Sur of the United Mexican States, hereinafter referred to as ""the Participants""; 1. PURPOSE The purpose of this Memorandum of Understanding (MOU) is to establish the Commission of the Californias (""the Commission""), as a forum to share information concerning common challenges, and to discuss the development of collective solutions to those common challenges. 2. SCOPE OF COOPERATION Through the Commission, the Participants intend to share information concerning common areas of interest, particularly the following: 1. Environment and energy. 2. Transportation and infrastructure. 3. Emergency preparedness and response. 4. Economic development and tourism. 5. Agriculture. 6. Public health. 3. IMPLEMENTATION OF ACTIVITIES The cooperation activities that are identified within the Commission will be carried out by the Governors and their designated staff, in coordination with the following governmental entities 1. For the Government of the State of California: a. Economic development and tourism - Governor's Office of Business and Economic Development (lead coordinating office), and California Travel and Tourism Commission. b. Environment and energy: California Environmental Protection Agency and the California Natural Resources Agency. O",-1,Rarely
