id,name,type
115924282126782262,Trump,ORG
115924277763800167,Trump,PER
115924277763800167,Somali,MISC
115924277763800167,US,LOC
115924043199702065,Rodney Scott,PER
115924043199702065,CBP,ORG
115924043199702065,Will Cain,PER
115924043199702065,The Will,MISC
115924043199702065,Cain,PER
115924043199702065,Show,MISC
115924025571521310,Minnesota,LOC
115924025571521310,ICE,ORG
115924025571521310,Country,LOC
115924025571521310,C,PER
115924025571521310,Joe B,PER
115924025571521310,Open Border Policy,MISC
115924025571521310,Minnesota,LOC
115924025571521310,DJ,PER
115923918404792612,DJTMichael Cohen,PER
115923918404792612,NY,LOC
115923918404792612,anti,MISC
115923918404792612,Trump,PER
115922086257363944,Elections,MISC
115922086257363944,U. S.,LOC
115922086257363944,Presidential Election of 2020,MISC
115922086257363944,##MA,ORG
115922086257363944,D,ORG
115922086257363944,Somali,MISC
115922086257363944,Republicans,MISC
115919827634401559,New York Stock Exchange,ORG
115919827634401559,Dallas,LOC
115919827634401559,UN,MISC
115919827634401559,##BE,ORG
115919827634401559,NE,LOC
115919827634401559,YOR,LOC
115919803174585205,NATO,ORG
115919803174585205,Denmark,LOC
115919803174585205,Russian,MISC
115919803174585205,Greenland,LOC
115919803174585205,Denmark,LOC
115919803174585205,Donald J. Trump,PER
115919697262007872,Minnesota,LOC
115919697262007872,Somalia,MISC
115919697262007872,Il,PER
115919697262007872,##l,PER
115919697262007872,##han Omar,PER
115919697262007872,USA,LOC
115919697262007872,Somalia,LOC
115919697262007872,S,LOC
115919697262007872,##OMAL,LOC
115919466737908324,Peter Schweizer,PER
115919466737908324,Invisible Coup,MISC
115919466737908324,American,MISC
115919466737908324,Powers,MISC
115919466737908324,U. S. A,LOC
115919466737908324,American Empire,MISC
115919466737908324,DJ,PER
115919296178368951,ICE,ORG
115919296178368951,Border Patrol,ORG
115919294107001486,Marc Thiess,PER
115919294107001486,Trump,PER
115919294107001486,Iran,LOC
115919294107001486,Havana,LOC
115919294107001486,Caracas,LOC
115919038563850124,David Bossie,PER
115919038563850124,D,ORG
115919038563850124,Trump,PER
115916047821747370,ICE,ORG
115916047821747370,World,LOC
115916047821747370,Country,LOC
115916047821747370,Minnesota,LOC
115916047821747370,Minnesota,LOC
115916047821747370,Congress,MISC
115916047821747370,Omar,PER
115915958962150760,Tim Scott,PER
115915958962150760,Lara Trump,PER
115915952093312324,Open Borders Policy,MISC
115915952093312324,Joe B,PER
115915952093312324,##iden,PER
115915952093312324,Minneapolis,LOC
115915952093312324,ICE,ORG
115915952093312324,Fox & Friends,ORG
115915881410679214,Jimmy Faillas,PER
115915881410679214,G,MISC
115915881410679214,DJ,PER
115911344443637897,Denmark,LOC
115911344443637897,European Union,ORG
115911344443637897,Ta,MISC
115911344443637897,Ce,MISC
115911344443637897,Denmark,LOC
115911344443637897,World Peace,MISC
115911344443637897,China,LOC
115911344443637897,Russia,LOC
115911344443637897,Greenland,LOC
115911344443637897,Denmark,LOC
115911344443637897,United States of America,LOC
115911344443637897,Land,LOC
115911344443637897,National Security of the,ORG
115911344443637897,United States,LOC
115911344443637897,World,LOC
115911344443637897,Denmark,LOC
115911344443637897,Norway,LOC
115911344443637897,Sweden,LOC
115911344443637897,France,LOC
115911344443637897,Germany,LOC
115911344443637897,The United Kingdom,LOC
115911344443637897,The Netherlands,LOC
115911344443637897,Finland,LOC
115911344443637897,Greenland,LOC
115911344443637897,"Safety, Security, and Survival of our Planet",ORG
115911344443637897,Global Peace and Security,ORG
115911344443637897,Denmark,LOC
115911344443637897,Norway,LOC
115911344443637897,Sweden,LOC
115911344443637897,France,LOC
115911344443637897,Germany,LOC
115911344443637897,The United Kingdom,LOC
115911344443637897,The Netherlands,LOC
115911344443637897,Finland,LOC
115911344443637897,United States of America,LOC
115911344443637897,Greenland,LOC
115911344443637897,United States,LOC
115911344443637897,Denmark,LOC
115911344443637897,AC,ORG
115911344443637897,Canada,LOC
115911344443637897,States,LOC
115911344443637897,America,LOC
115913968629100828,David McI,PER
115913968629100828,##nto,ORG
115913968629100828,##sh,PER
115913968629100828,Club for Growth,ORG
115913968629100828,Indiana,LOC
115913968629100828,Senate,ORG
115913968629100828,Rod Bray,PER
115913968629100828,RIN,ORG
115913968629100828,Republican Party,ORG
115913968629100828,United States,LOC
115913968629100828,AM,LOC
115913968629100828,##ERICA,ORG
115913968629100828,Bray,PER
115913724519885202,America,MISC
115913724519885202,First,ORG
115913724519885202,Julia Letlow,PER
115913724519885202,State,LOC
115913724519885202,Louisiana,LOC
115913724519885202,Julia,PER
115913724519885202,Campaign,MISC
115913724519885202,United States,LOC
115913724519885202,Senate,ORG
115913724519885202,Louisiana,LOC
115913724519885202,Julia,PER
115913724519885202,Julia,PER
115913724519885202,Louisiana,LOC
115913724519885202,United States,LOC
115913724519885202,Senate,ORG
115913724519885202,Julia,PER
115913724519885202,Farmers and Fishermen,ORG
115913724519885202,Louisiana Oil & Gas,ORG
115913724519885202,American,MISC
115913724519885202,Energy,ORG
115913724519885202,U. S,LOC
115913724519885202,A,LOC
115913724519885202,Amendment,MISC
115913724519885202,Julia Letlow,PER
115913724519885202,J,PER
115913809230823901,Barry Moore,PER
115913809230823901,America First,ORG
115913809230823901,Patriot,MISC
115913809230823901,United States,LOC
115913809230823901,Senate,ORG
115913809230823901,Alabama,LOC
115913809230823901,States,LOC
115913809230823901,Barry,PER
115913809230823901,Barry,PER
115913809230823901,U. S. A,LOC
115913809230823901,American,MISC
115913809230823901,Energy,ORG
115913809230823901,Amendment,MISC
115913809230823901,Barry Moore,PER
115913809230823901,United States,LOC
115913809230823901,Alabama,LOC
115913629513015604,Army,ORG
115913629513015604,Navy,ORG
115913629513015604,Game,MISC
115913629513015604,American Tradition,MISC
115913629513015604,College Playoff Games,MISC
115913629513015604,Money,MISC
115913629513015604,Army,ORG
115913629513015604,Navy,ORG
115913629513015604,Army,ORG
115913629513015604,Navy,ORG
115913629513015604,Historic Executive Order,MISC
115913629513015604,E,MISC
115913629513015604,National Event,MISC
115913629513015604,Commercial Postseason Games,MISC
115913629513015604,Time Slot,MISC
115913629513015604,Americas,LOC
115913629513015604,Patriots,MISC
115913629513015604,ALL Television Networks,ORG
115913629513015604,Stations,ORG
115913629513015604,Outlets,ORG
115913629513015604,God,PER
115913629513015604,America,LOC
115913629513015604,God,PER
115913629513015604,Army,ORG
115913629513015604,Navy,ORG
115913629513015604,Game,MISC
115913629513015604,Donald J,PER
115913629513015604,Trump,PER
115912250523181458,Autopen,ORG
115912250523181458,Autopen,ORG
115912250523181458,B,PER
115912250523181458,##iden,PER
115912250523181458,Radical,MISC
115912250523181458,Left,ORG
115912250523181458,B,ORG
115912250523181458,##iden Administration,ORG
115912250523181458,Country,LOC
115912250523181458,Joe Biden,PER
115911321115123547,Fake News Wall Street Journal,ORG
115911321115123547,Jamie Dimon,PER
115911321115123547,JPMorgan Chase,ORG
115911321115123547,Fed,ORG
115911321115123547,JPMorgan Chase,ORG
115911321115123547,The Election,MISC
115911321115123547,The Wall Street Journal,ORG
115911321115123547,Jamie Dimon,PER
115911321115123547,Treasury,ORG
115911321115123547,Scott Bessent,PER
115911321115123547,SUPERST,ORG
115911321115123547,Jamie,PER
115911321115123547,Wall Street Journal,ORG
115911133899693977,G,ORG
115911133899693977,##RE,MISC
115911133899693977,##G J,ORG
115911133899693977,Trump,PER
115911133899693977,Minneapolis,LOC
115911133899693977,ICE,ORG
115908316744576000,Fake News CNN,ORG
115908065089401787,Radical,MISC
115908065089401787,Left,ORG
115908065089401787,New,ORG
115908065089401787,York Courts,LOC
115908065089401787,Michael Cohen,PER
115908065089401787,Let,PER
115908065089401787,##iti,PER
115908065089401787,##a James,PER
115908065089401787,Alvin Bragg,PER
115908065089401787,Trump,PER
115906000981082082,Iran,LOC
115906000981082082,AMERICA,LOC
115905757161594483,Minnesota,LOC
115905755470362973,Meeting,MISC
115905755470362973,on Healthcare,ORG
115905755470362973,Federal Government,ORG
115905755470362973,Insurance Companies,ORG
115902023696178994,Mara Corina Machado,PER
115902023696178994,Venezuela,LOC
115902023696178994,Mara,PER
115902023696178994,Nobel Peace Prize,MISC
115902023696178994,Mara,PER
115902017280271792,Steve Witko,PER
115902017280271792,Gaza,MISC
115902017280271792,Point,MISC
115902017280271792,Plan,MISC
115902017280271792,Ce,MISC
115902017280271792,##itarian Aid,ORG
115902017280271792,Gaza,LOC
115902017280271792,United Nations,ORG
115902017280271792,UNPR,ORG
115902017280271792,Board of Peace,ORG
115902017280271792,Palestinian,MISC
115902017280271792,##nocratic Government,ORG
115902017280271792,National Committee for the Administration of Gaza,ORG
115902017280271792,Board,ORG
115902017280271792,Gaza,LOC
115902017280271792,Palestinian,MISC
115902017280271792,Egypt,LOC
115902017280271792,Turkey,LOC
115902017280271792,Qatar,LOC
115902017280271792,##zation Agreement,MISC
115902017280271792,Hamas,ORG
115902017280271792,E,MISC
115902017280271792,Hamas,ORG
115902017280271792,Israel,LOC
115902017280271792,Gaza,LOC
115901692370933354,Board,ORG
115901692370933354,Pre,ORG
115901692370933354,##igious Board,ORG
115901692370933354,AMERICA,LOC
115901513827848128,Country,LOC
115901513827848128,National Security,ORG
115901513827848128,U,LOC
115901513827848128,S,LOC
115901513827848128,A,LOC
115899928012071589,Tech Companies,ORG
