id,propaganda,his_propaganda
115924282126782262,No,"""No"""
115924279332406120,No,"""No"""
115924277763800167,No,No
115924046475418008,Call,"""No"""
115924043199702065,Call,"""No"""
115924025571521310,Attack on reputation,"""No"""
115923918404792612,Attack on reputation,"""No"""
115922086257363944,Distraction,No
115919827634401559,Distraction,"""No"""
115919803174585205,Call,No
115919697262007872,Attack on reputation,No
115919466737908324,Call,Geopolitical Framing
115919296178368951,Distraction,No
115919294107001486,Call,No
115919038563850124,Distraction,"""No"""
115916047821747370,Attack on reputation,No
115915958962150760,Call,"""No"""
115915952093312324,Distraction,No
115915881410679214,Call,"""No"""
115911344443637897,"""Call""",Geopolitical Framing
115913968629100828,Attack on reputation,"""No"""
115913724519885202,Call,No
115913809230823901,Call,No
115913629513015604,Call,No
115912250523181458,Attack on reputation,"""No"""
115911321115123547,Attack on reputation,No
115911133899693977,Justification,No
115908316744576000,Distraction,"""No"""
115908065089401787,Attack on reputation,No
115906000981082082,Call,No
115905757161594483,Call,No
115905755470362973,Call,No
115902023696178994,No,"""No"""
115902017280271792,Justification,Geopolitical Framing
115901692370933354,Call,No
115901513827848128,Call,No
115899928012071589,Call,"""No"""
115899252938886431,Call,No
115899010178595252,Call,No
115898867378270216,Call,No
115896547660912892,Attack on reputation,"""No"""
115895806350456434,Call,No
115893658269457561,Distraction,No
115893627273067088,Attack on reputation,"""No"""
115893625622462941,Distraction,No
115862109893187989,Justification,"""No"""
115893309945152200,Attack on reputation,No
115893255826342514,Call,No
115890870756720067,Call,"""No"""
115889956193740965,Call,No
115889954671261109,Attack on reputation,No
115888656099131562,No,"""No"""
115888317758045915,Call,No
115888260399895701,Distraction,"""No"""
115888070937502023,Attack on reputation,No
115888061978141827,Attack on reputation,No
115887347099564233,Attack on reputation,"""No"""
115886085338434959,Call,"""No"""
115884759090137876,No,"""No"""
115884425860726582,Attack on reputation,"""No"""
115884319075881590,Call,"""No"""
115884164936451552,Attack on reputation,"""No"""
115883475463948362,Attack on reputation,No
115882511750475574,No,No
115882232505676630,Call,"""No"""
115879659776888469,No,"""No"""
115879485276291693,No,"""No"""
115877313568182404,Call,"""No"""
115877277396911389,No,"""No"""
115877176968623599,Call,"""No"""
115877170851219343,Distraction,"""No"""
115877168331849670,Call,"""No"""
115877159371615050,Call,"""No"""
115877154046314028,No,"""No"""
